Species,Nativity,Thickness,Photo,PerN,LMA,Tair_MEAN,Rainfall_MEAN
Schinus terebinthifolius,exotic,0.336,13.11927171,1.3,138.4929771,21.50571823,1487.860249
Schinus terebinthifolius,exotic,0.265,16.46028066,1.14,112.1057118,21.50571823,1487.860249
Psidium cattleianum,exotic,0.493,13.60787076,0.89,204.531371,21.50571823,1487.860249
Psidium cattleianum,exotic,0.45,12.68662776,1.08,188.1156512,21.50571823,1487.860249
Schinus terebinthifolius,exotic,0.277,11.05981616,1.23,117.254982,21.50571823,1487.860249
Psidium cattleianum,exotic,0.356,14.00997326,1.1,125.4697286,21.50571823,1487.860249
Psidium cattleianum,exotic,0.419,13.62469153,1.04,158.5586137,21.50571823,1487.860249
Psidium cattleianum,exotic,0.351,13.83961345,0.98,153.8361424,21.50571823,1487.860249
Schinus terebinthifolius,exotic,0.243,8.525051783,1.08,105.7426722,21.50571823,1487.860249
Psidium cattleianum,exotic,0.43,13.42168675,0.88,157.4864236,21.50571823,1487.860249
Psidium cattleianum,exotic,0.418,10.7794579,0.87,149.1355195,21.50571823,1487.860249
Schinus terebinthifolius,exotic,0.35,15.85116486,1.35,132.775472,21.50571823,1487.860249
Schinus terebinthifolius,exotic,0.262,12.41935316,1.05,133.2620122,21.50571823,1487.860249
Psidium cattleianum,exotic,0.434,12.52579353,0.85,162.7262722,21.50571823,1487.860249
Psidium cattleianum,exotic,0.374,13.40785304,0.75,127.9878396,21.50571823,1487.860249
Leptecophylla tameiameiae,native,0.339,8.530501209,0.82,161.2903226,21.50571823,1487.860249
Leptecophylla tameiameiae,native,0.368,7.448012123,0.65,156.8627451,21.50571823,1487.860249
Leptecophylla tameiameiae,native,0.231,6.717870504,0.79,,21.50571823,1487.860249
Leptecophylla tameiameiae,native,0.337,6.805244459,0.63,346.7741935,21.50571823,1487.860249
Dodonaea viscosa,native,0.266,9.238745867,1.39,184.6036002,21.50571823,1487.860249
Dodonaea viscosa,native,0.224,8.332237195,0.98,104.0964262,21.50571823,1487.860249
Dodonaea viscosa,native,0.235,14.16962473,1.14,130.6839187,21.50571823,1487.860249
Dodonaea viscosa,native,0.202,11.07557769,1.7,90.85332606,21.50571823,1487.860249
Acacia confusa,exotic,0.287,5.283793239,2.52,129.1208791,21.50571823,1487.860249
Acacia confusa,exotic,0.294,15.70281052,3.08,115.457756,21.50571823,1487.860249
Acacia confusa,exotic,0.311,9.853641043,2.12,130.7891075,21.50571823,1487.860249
Acacia confusa,exotic,0.337,16.62279261,2.54,110.2994887,21.50571823,1487.860249
Acacia confusa,exotic,0.315,18.07267238,2.62,131.4892005,21.50571823,1487.860249
Clidemia hirta,exotic,0.205,7.935844963,0.96,91.34653942,21.50571823,1487.860249
Metrosideros polymorpha,native,0.413,9.443711205,0.74,190.7187323,21.50571823,1487.860249
Psydrax odorata,native,0.463,6.561507732,0.91,207.3914604,20.69855118,2222.781766
Cordyline fruticosa,exotic,0.229,5.212223157,2.12,,20.84825325,2205.811096
Cordyline fruticosa,exotic,0.221,7.139626983,1.3,,20.84825325,2205.811096
Cordyline fruticosa,exotic,0.258,8.899488978,1.56,,20.84825325,2205.811096
Cordyline fruticosa,exotic,0.183,8.31825722,0.99,,20.84825325,2205.811096
